median_income,Type,shops_per_1000
79722,Starbucks,0.0
70571,Starbucks,0.0
121607,Starbucks,0.184535892231039
114769,Starbucks,0.0
72042,Starbucks,0.0
126840,Starbucks,0.0
103542,Starbucks,0.0
101118,Starbucks,0.0
89934,Starbucks,0.0
90703,Starbucks,0.0
82361,Starbucks,0.0
70308,Starbucks,0.0
94340,Starbucks,0.226757369614512
75967,Starbucks,0.0
49067,Starbucks,0.0
77441,Starbucks,0.0
71116,Starbucks,0.0
36619,Starbucks,0.0
42487,Starbucks,0.0
29688,Starbucks,0.0
40424,Starbucks,0.0
63603,Starbucks,0.0
31969,Starbucks,0.0
58618,Starbucks,0.148389968838107
85152,Starbucks,0.0
85326,Starbucks,0.0
84423,Starbucks,0.0
87596,Starbucks,0.0
87962,Starbucks,0.0
60380,Starbucks,0.0
54133,Starbucks,0.0
113658,Starbucks,0.0
84757,Starbucks,0.0
72250,Starbucks,0.20165355918532
61855,Starbucks,0.0
75587,Starbucks,0.0
71007,Starbucks,0.0
32396,Starbucks,0.0
56402,Starbucks,0.0
47882,Starbucks,0.0
78488,Starbucks,0.0
63586,Starbucks,0.0
85152,Starbucks,0.0
68705,Starbucks,0.0
78047,Starbucks,0.0
88956,Starbucks,0.0
41057,Starbucks,0.0
23275,Starbucks,0.0
33715,Starbucks,0.0
31941,Starbucks,0.0
31375,Starbucks,0.0
32676,Starbucks,0.0
52525,Starbucks,0.0
37940,Starbucks,0.0
25247,Starbucks,0.0
18337,Starbucks,0.0
14540,Starbucks,0.0
28362,Starbucks,0.0
22547,Starbucks,0.0
25347,Starbucks,0.0
30368,Starbucks,0.0
51220,Starbucks,0.0
49375,Starbucks,0.0
45560,Starbucks,0.0
30069,Starbucks,0.0
29375,Starbucks,0.0
38906,Starbucks,0.0
41171,Starbucks,0.0
75083,Starbucks,0.0
41958,Starbucks,0.0
64130,Starbucks,0.0
80536,Starbucks,0.0
86442,Starbucks,0.0
57790,Starbucks,0.0
71553,Starbucks,0.0
74826,Starbucks,0.0
84113,Starbucks,0.169319336268202
74904,Starbucks,0.0
90417,Starbucks,0.0
93750,Starbucks,0.0
65944,Starbucks,0.0
45735,Starbucks,0.0
48138,Starbucks,0.0
45128,Starbucks,0.0
50034,Starbucks,0.0
37832,Starbucks,0.0
38497,Starbucks,0.0
22688,Starbucks,0.0
34844,Starbucks,0.0
26492,Starbucks,0.0
21775,Starbucks,0.0
39750,Starbucks,0.0
57632,Starbucks,0.0
23477,Starbucks,0.0
32765,Starbucks,0.0
26989,Starbucks,0.0
38970,Starbucks,0.0
34902,Starbucks,0.0
50709,Starbucks,0.0
20845,Starbucks,0.0
13750,Starbucks,0.0
27772,Starbucks,0.0
33841,Starbucks,0.0
48636,Starbucks,0.0
63897,Starbucks,0.0
36159,Starbucks,0.0
25313,Starbucks,0.0
26623,Starbucks,0.0
26802,Starbucks,0.0
22704,Starbucks,0.0
55200,Starbucks,0.0
57270,Starbucks,0.160128102481986
84630,Starbucks,0.0
57337,Starbucks,0.0
77917,Starbucks,0.0
61538,Starbucks,0.0
93934,Starbucks,0.0
83393,Starbucks,0.0
62135,Starbucks,0.0
69942,Starbucks,0.0
38958,Starbucks,0.0
60153,Starbucks,0.0
67588,Starbucks,0.0
78319,Starbucks,0.0
135976,Starbucks,0.0
65083,Starbucks,0.0
107353,Starbucks,0.0
71447,Starbucks,0.17247326664367
128095,Starbucks,0.0
118482,Starbucks,0.0
99848,Starbucks,0.0
81520,Starbucks,0.236854571293226
84583,Starbucks,0.0
57443,Starbucks,0.0
71698,Starbucks,0.0
44222,Starbucks,0.193798449612403
41659,Starbucks,0.0
65000,Starbucks,0.0
71556,Starbucks,0.0
52292,Starbucks,0.0
53325,Starbucks,0.0
63333,Starbucks,0.0
82353,Starbucks,0.0
59441,Starbucks,0.0
87159,Starbucks,0.0
96905,Starbucks,0.0
48772,Starbucks,0.0
36830,Starbucks,0.0
70143,Starbucks,0.0
54132,Starbucks,0.0
61310,Starbucks,0.0
35060,Starbucks,0.0
25298,Starbucks,0.0
36934,Starbucks,0.0
53462,Starbucks,0.0
54171,Starbucks,0.0
44938,Starbucks,0.0
42542,Starbucks,0.0
35493,Starbucks,0.0
21038,Starbucks,0.0
26589,Starbucks,0.0
19708,Starbucks,0.0
37284,Starbucks,0.0
26092,Starbucks,0.34106412005457
80357,Starbucks,0.0
71538,Starbucks,0.0
71231,Starbucks,0.0
75547,Starbucks,0.137042620254899
89000,Starbucks,0.16417665407979
108867,Starbucks,0.159464200287036
121127,Starbucks,0.0
89914,Starbucks,0.0
100298,Starbucks,0.0
54012,Starbucks,0.243042897071333
71150,Starbucks,0.0
82509,Starbucks,0.0
57431,Starbucks,0.0
48006,Starbucks,0.0
33458,Starbucks,0.0
59844,Starbucks,0.0
65761,Starbucks,0.0
67194,Starbucks,0.0
93984,Starbucks,0.0
76906,Starbucks,0.0
79879,Starbucks,0.0
105646,Starbucks,0.0
127813,Starbucks,0.0
121157,Starbucks,0.0
119688,Starbucks,0.0
100559,Starbucks,0.0
116875,Starbucks,0.0
90677,Starbucks,0.13024225058609
69702,Starbucks,0.0
95000,Starbucks,0.289519397799653
55242,Starbucks,0.0
53301,Starbucks,0.0
71675,Starbucks,0.0
92191,Starbucks,0.0
89313,Starbucks,0.0
75270,Starbucks,0.0
60250,Starbucks,0.0
86424,Starbucks,0.0
67670,Starbucks,0.0
50026,Starbucks,0.0
35594,Starbucks,0.0
44115,Starbucks,0.0
44360,Starbucks,0.0
79196,Starbucks,0.0
84509,Starbucks,0.0
69357,Starbucks,0.0
89185,Starbucks,0.0
64080,Starbucks,0.0
59571,Starbucks,0.0
101167,Starbucks,0.0
17269,Starbucks,0.0
58500,Starbucks,0.0
39125,Starbucks,0.0
20146,Starbucks,0.0
34422,Starbucks,0.0
53269,Starbucks,0.0
33333,Starbucks,0.0
34111,Starbucks,0.0
23587,Starbucks,0.0
26696,Starbucks,0.0
17785,Starbucks,0.0
19020,Starbucks,0.0
26605,Starbucks,0.0
33667,Starbucks,0.0
34060,Starbucks,0.0
29815,Starbucks,0.0
42609,Starbucks,0.0
67294,Starbucks,0.0
62083,Starbucks,0.0
109470,Starbucks,0.0
76786,Starbucks,0.0
93393,Starbucks,0.0
41835,Starbucks,0.0
40463,Starbucks,0.0
70395,Starbucks,0.0
63704,Starbucks,0.219298245614035
71780,Starbucks,0.0
96250,Starbucks,0.230096640589047
79805,Starbucks,0.0
69292,Starbucks,0.0
71050,Starbucks,0.0
72371,Starbucks,0.15220700152207
144762,Starbucks,0.0
148245,Starbucks,0.0
149632,Starbucks,0.0
90739,Starbucks,0.0
68906,Starbucks,0.199720391451967
163125,Starbucks,0.0
146643,Starbucks,0.0
126667,Starbucks,0.0
144932,Starbucks,0.0
163750,Starbucks,0.0
33542,Starbucks,0.0
36866,Starbucks,0.0
76031,Starbucks,0.0
93354,Starbucks,0.0
78580,Starbucks,0.258397932816537
90517,Starbucks,0.172980453208787
82892,Starbucks,0.0
49210,Starbucks,0.0
56544,Starbucks,0.0
35871,Starbucks,0.0
53750,Starbucks,0.0
72222,Starbucks,0.0
83188,Starbucks,0.0
67873,Starbucks,0.0
80508,Starbucks,0.0
122969,Starbucks,0.0
92898,Starbucks,0.0
100260,Starbucks,0.0
112218,Starbucks,0.0
90243,Starbucks,0.0
77321,Starbucks,0.0
66442,Starbucks,0.0
70220,Starbucks,0.0
74318,Starbucks,0.0
78894,Starbucks,0.0
127212,Starbucks,0.0
79879,Starbucks,0.0
56786,Starbucks,0.243724104313917
90500,Starbucks,0.0
95827,Starbucks,0.0
85994,Starbucks,0.0
83917,Starbucks,0.0
74006,Starbucks,0.0
96290,Starbucks,0.0
34431,Starbucks,0.0
57953,Starbucks,0.0
45648,Starbucks,0.0
34015,Starbucks,0.0
51651,Starbucks,0.298151460942159
66221,Starbucks,0.0
50083,Starbucks,0.0
37344,Starbucks,0.207813798836243
42841,Starbucks,0.0
43787,Starbucks,0.0
49399,Starbucks,0.0
47888,Starbucks,0.0
61111,Starbucks,0.0
71809,Starbucks,0.0
53004,Starbucks,0.0
37377,Starbucks,0.0
25255,Starbucks,0.0
42426,Starbucks,0.0
46228,Starbucks,0.0
64500,Starbucks,0.220458553791887
57708,Starbucks,0.0
37525,Starbucks,0.0
69583,Starbucks,0.0
71146,Starbucks,0.0
109615,Starbucks,0.0
85905,Starbucks,0.0
74568,Starbucks,0.0
73022,Starbucks,0.0
71136,Starbucks,0.0
79387,Starbucks,0.0
127935,Starbucks,0.0
101389,Starbucks,0.0
87480,Starbucks,0.0
66711,Starbucks,0.0
108295,Starbucks,0.0
99875,Starbucks,0.0
80638,Starbucks,0.0
93798,Starbucks,0.0
96150,Starbucks,0.0
101587,Starbucks,0.0
112426,Starbucks,0.0
74330,Starbucks,0.0
88906,Starbucks,0.0
99863,Starbucks,0.152741713762028
90298,Starbucks,0.0
89241,Starbucks,0.0
128108,Starbucks,0.0
116800,Starbucks,0.0
119075,Starbucks,0.0
86729,Starbucks,0.0
77120,Starbucks,0.354233085370174
69440,Starbucks,0.0
115082,Starbucks,0.0
107000,Starbucks,0.0
148770,Starbucks,0.0
149353,Starbucks,0.244140625
129596,Starbucks,0.186254423542559
114667,Starbucks,0.0
131643,Starbucks,0.13401232913428
79630,Starbucks,0.0
64122,Starbucks,0.0
55455,Starbucks,0.0
94141,Starbucks,0.32916392363397
84010,Starbucks,0.0
66319,Starbucks,0.0
108008,Starbucks,0.0
72529,Starbucks,0.0
63456,Starbucks,0.0
77600,Starbucks,0.0
131500,Starbucks,0.0
104674,Starbucks,0.0
116290,Starbucks,0.2210433244916
67110,Starbucks,0.0
106968,Starbucks,0.0
118005,Starbucks,0.0
79871,Starbucks,0.0
73750,Starbucks,0.0
85240,Starbucks,0.0
116125,Starbucks,0.0
138458,Starbucks,0.0
96161,Starbucks,0.140114894213255
92300,Starbucks,0.292997363023733
91970,Starbucks,0.0
104398,Starbucks,0.191021967526266
115169,Starbucks,0.0
118843,Starbucks,0.0
85442,Starbucks,0.0
95057,Starbucks,0.146886016451234
99926,Starbucks,0.502386335091686
82237,Starbucks,0.0
67639,Starbucks,0.0
77148,Starbucks,0.0
80180,Starbucks,0.0
84449,Starbucks,0.196155355041193
56250,Starbucks,0.0
81694,Starbucks,0.280033604032484
105427,Starbucks,0.141282848262221
102692,Starbucks,0.0
114375,Starbucks,0.0
85909,Starbucks,0.155376009944065
86316,Starbucks,0.0
86205,Starbucks,0.0
73643,Starbucks,0.0
78200,Starbucks,0.0
93269,Starbucks,0.0
80478,Starbucks,0.0
123469,Starbucks,0.0
94912,Starbucks,0.149902563333833
66917,Starbucks,0.0
76370,Starbucks,0.0
84196,Starbucks,0.0
94398,Starbucks,0.0
56528,Starbucks,0.0
69670,Starbucks,0.0
85028,Starbucks,0.0
160370,Starbucks,0.0
89595,Starbucks,0.0
123083,Starbucks,0.0
174464,Starbucks,0.0
168466,Starbucks,0.167000668002672
59775,Starbucks,0.0
99196,Starbucks,0.0
74250,Starbucks,0.0
63227,Starbucks,0.0
75962,Starbucks,0.172413793103448
81250,Starbucks,0.0
62793,Starbucks,0.0
83886,Starbucks,0.209951711106446
61705,Starbucks,0.0
62361,Starbucks,0.0
54700,Starbucks,0.0
98750,Starbucks,0.0
82009,Starbucks,0.0
47017,Starbucks,0.0
53937,Starbucks,0.0
42675,Starbucks,0.0
57126,Starbucks,0.0
59683,Starbucks,0.0
53986,Starbucks,0.0
66750,Starbucks,0.0
36157,Starbucks,0.0
56929,Starbucks,0.0
66180,Starbucks,0.0
49353,Starbucks,0.0
32989,Starbucks,0.0
52542,Starbucks,0.0
55795,Starbucks,0.0
65938,Starbucks,0.0
46164,Starbucks,0.146993973247097
45871,Starbucks,0.0
48493,Starbucks,0.0
76094,Starbucks,0.761614623000762
40825,Starbucks,0.0
68500,Starbucks,0.0
76467,Starbucks,0.0
84688,Starbucks,0.0
92614,Starbucks,0.0
85000,Starbucks,0.0
58226,Starbucks,0.146177459435755
94569,Starbucks,0.0
105000,Starbucks,0.295770482105886
75526,Starbucks,0.134535180949818
74875,Starbucks,0.0
76818,Starbucks,0.0
64216,Starbucks,0.0
57978,Starbucks,0.0
53618,Starbucks,0.0
50508,Starbucks,0.0
49384,Starbucks,0.381970970206264
65711,Starbucks,0.0
102704,Starbucks,0.386996904024768
35862,Starbucks,0.0
83980,Starbucks,0.0
36842,Starbucks,1.001001001001
87852,Starbucks,0.0
59676,Starbucks,0.0
40750,Starbucks,0.0
100125,Starbucks,0.0
79844,Starbucks,0.0
56742,Starbucks,0.287521564117309
70549,Starbucks,0.0
77935,Starbucks,0.212224108658744
71125,Starbucks,0.0
89837,Starbucks,0.301932367149758
70833,Starbucks,0.328083989501312
91801,Starbucks,0.0
89167,Starbucks,0.204290091930541
51955,Starbucks,0.534568781183179
69727,Starbucks,0.0
49915,Starbucks,0.0
69858,Starbucks,0.493461633358006
115000,Starbucks,0.376506024096386
153125,Starbucks,0.0
63940,Starbucks,0.275785990071704
111033,Starbucks,0.0
83458,Starbucks,0.0
82655,Starbucks,0.196927924379677
111094,Starbucks,0.0
106250,Starbucks,0.0
43375,Starbucks,0.0
76742,Starbucks,0.342231348391513
116094,Starbucks,0.0
70132,Starbucks,0.199044585987261
113381,Starbucks,0.0
98961,Starbucks,0.141823854772373
84291,Starbucks,0.0
110816,Starbucks,0.0
79825,Starbucks,0.0
89315,Starbucks,0.0
104306,Starbucks,0.224921277552857
162786,Starbucks,0.0
101719,Starbucks,0.0
118920,Starbucks,0.0
90238,Starbucks,0.421407501053519
69098,Starbucks,0.0
78490,Starbucks,0.0
141071,Starbucks,0.0
147298,Starbucks,0.0
137692,Starbucks,0.0
121336,Starbucks,0.394632991318074
132829,Starbucks,0.0
136637,Starbucks,0.165289256198347
150664,Starbucks,0.0
102356,Starbucks,0.150966183574879
129500,Starbucks,0.0
79063,Starbucks,0.0
143897,Starbucks,0.0
130060,Starbucks,0.169204737732657
118015,Starbucks,0.0
158203,Starbucks,0.0
157500,Starbucks,0.0
96450,Starbucks,0.0
126546,Starbucks,0.0
131774,Starbucks,0.160565189466924
146389,Starbucks,0.0
130134,Starbucks,0.0
77188,Starbucks,0.0
79688,Starbucks,0.0
177107,Starbucks,0.0
165500,Starbucks,0.0
146250,Starbucks,0.220701831825204
104375,Starbucks,0.215470803706098
200278,Starbucks,0.0
155885,Starbucks,0.0
180972,Starbucks,0.0
226181,Starbucks,0.0
85840,Starbucks,0.0
102292,Starbucks,0.0
93333,Starbucks,0.234852043212776
60056,Starbucks,0.0
73482,Starbucks,0.0
55385,Starbucks,0.0
70379,Starbucks,0.0
54667,Starbucks,0.0
59545,Starbucks,0.0
82798,Starbucks,0.0
51364,Starbucks,0.0
76250,Starbucks,0.597371565113501
95320,Starbucks,0.0
91042,Starbucks,0.0
81307,Starbucks,0.0
102538,Starbucks,0.0
95000,Starbucks,0.0
74021,Starbucks,0.380734818199124
87423,Starbucks,0.188679245283019
76821,Starbucks,0.212314225053079
78023,Starbucks,0.0
89063,Starbucks,0.0
89267,Starbucks,0.290107339715695
166375,Starbucks,0.0
176042,Starbucks,0.0
167305,Starbucks,0.271296798697775
98646,Starbucks,0.182915675873422
175370,Starbucks,0.147732309055991
116489,Starbucks,0.189969604863222
85906,Starbucks,0.221631205673759
150806,Starbucks,0.0
184625,Starbucks,0.569638279692395
203380,Starbucks,0.0
128523,Starbucks,0.0
107672,Starbucks,0.0
105990,Starbucks,0.0
123472,Starbucks,0.0
107571,Starbucks,0.204206657137023
107359,Starbucks,0.0
114396,Starbucks,0.0
73750,Starbucks,0.0
82535,Starbucks,0.0
69801,Starbucks,0.0
102434,Starbucks,0.451263537906137
31250,Starbucks,0.0
31580,Starbucks,0.0
61092,Starbucks,0.0
52930,Starbucks,0.0
50738,Starbucks,0.0
46058,Starbucks,0.0
73919,Starbucks,0.246426811237063
71275,Starbucks,0.646412411118294
74741,Starbucks,0.0
84688,Starbucks,0.0
90801,Starbucks,0.0
126272,Starbucks,0.0
110152,Starbucks,0.0
79336,Starbucks,0.0
107607,Starbucks,0.0
56287,Starbucks,0.0
113818,Starbucks,0.0
155564,Starbucks,0.0
106394,Starbucks,0.0
95357,Starbucks,0.0
119964,Starbucks,0.0
103996,Starbucks,0.0
66453,Starbucks,0.0
15848,Starbucks,0.0
62303,Starbucks,0.205212394828648
67762,Starbucks,0.0
115671,Starbucks,0.0
65859,Starbucks,0.0
88860,Starbucks,0.192864030858245
100806,Starbucks,0.0
137688,Starbucks,0.0
92321,Starbucks,0.0
61763,Starbucks,0.24390243902439
72115,Starbucks,0.0
163125,Starbucks,0.211909302818394
125685,Starbucks,0.136017410228509
70057,Starbucks,0.268889486421081
67390,Starbucks,0.0
77500,Starbucks,0.0
101087,Starbucks,0.0
89853,Starbucks,0.0
109695,Starbucks,0.0
155987,Starbucks,0.0
160726,Starbucks,0.0
120000,Starbucks,0.0
105000,Starbucks,0.163265306122449
151005,Starbucks,0.0
185625,Starbucks,0.0
175625,Starbucks,0.199481348493916
184375,Starbucks,0.0
127174,Starbucks,0.278784499581823
137837,Starbucks,0.291247997670016
176250,Starbucks,0.0
130870,Starbucks,0.177462289263531
147440,Starbucks,0.0
96773,Starbucks,0.0
112281,Starbucks,0.1230012300123
100000,Starbucks,0.0
141591,Starbucks,0.0
144292,Starbucks,0.0
89022,Starbucks,0.0
103887,Starbucks,0.0
85523,Starbucks,0.0
93040,Starbucks,0.123228589032656
86125,Starbucks,0.0
88846,Starbucks,0.0
94830,Starbucks,0.0
123974,Starbucks,0.158604282315623
139531,Starbucks,0.0
133625,Starbucks,0.200521355524363
75221,Starbucks,0.166666666666667
65139,Starbucks,0.0
99688,Starbucks,0.0
61892,Starbucks,0.0
99539,Starbucks,0.0
80427,Starbucks,0.0
128980,Starbucks,0.0
155957,Starbucks,0.0
100528,Starbucks,0.0
97143,Starbucks,0.0
70698,Starbucks,0.124146492861577
81810,Starbucks,0.0
118125,Starbucks,0.0
126481,Starbucks,0.0
97500,Starbucks,0.0
105236,Starbucks,0.0
108333,Starbucks,0.0
122130,Starbucks,0.160410651267244
83553,Starbucks,0.0
60589,Starbucks,0.0
85661,Starbucks,0.0
93400,Starbucks,0.0
71589,Starbucks,0.0
65375,Starbucks,0.0
63005,Starbucks,0.0
53750,Starbucks,0.0
51732,Starbucks,0.184604024367731
77667,Starbucks,0.0
76213,Starbucks,0.0
23288,Starbucks,0.0
42593,Starbucks,0.0
55968,Starbucks,0.0
71142,Starbucks,0.149120190873844
80100,Starbucks,0.0
53775,Starbucks,0.0
63778,Starbucks,0.0
61146,Starbucks,0.0
75893,Starbucks,0.0
94826,Starbucks,0.357206644043579
87167,Starbucks,0.0
61339,Starbucks,0.0
81534,Starbucks,0.0
100703,Starbucks,0.0
92560,Starbucks,0.0
80000,Starbucks,0.0
93284,Starbucks,0.0
63119,Starbucks,0.0
50231,Starbucks,0.0
70431,Starbucks,0.0
57151,Starbucks,0.0
62976,Starbucks,0.0
53359,Starbucks,0.0
79041,Starbucks,0.0
87475,Starbucks,0.0
69498,Starbucks,0.141222991102952
95365,Starbucks,0.0
69624,Starbucks,0.0
64167,Starbucks,0.0
62234,Starbucks,0.0
49068,Starbucks,0.0
76875,Starbucks,0.0
67796,Starbucks,0.0
66943,Starbucks,0.0
117679,Starbucks,0.123456790123457
78516,Starbucks,0.116536534203473
121250,Starbucks,0.0
87563,Starbucks,0.0
87037,Starbucks,0.0
90606,Starbucks,0.173280194073817
109815,Starbucks,0.141462724572075
125737,Starbucks,0.0
124896,Starbucks,0.0
80214,Starbucks,0.0
86576,Starbucks,0.0
88198,Starbucks,0.0
106786,Starbucks,0.0
63487,Starbucks,0.0
84408,Starbucks,0.302206104563312
41971,Starbucks,0.0
51092,Starbucks,0.0
84444,Starbucks,0.0
102375,Starbucks,0.0
78750,Starbucks,0.0
125034,Starbucks,0.0
84135,Starbucks,0.0
70463,Starbucks,0.0
73678,Starbucks,0.0
88148,Starbucks,0.0
102102,Starbucks,0.119033448399
124444,Starbucks,0.0
93050,Starbucks,0.139392249790912
67012,Starbucks,0.0
67831,Starbucks,0.0
64973,Starbucks,0.0
110121,Starbucks,0.27122321670735
90073,Starbucks,0.0
101776,Starbucks,0.0
121000,Starbucks,0.0
104123,Starbucks,0.0
121719,Starbucks,0.0
89688,Starbucks,0.0
107275,Starbucks,0.0
82326,Starbucks,0.166917042230012
94792,Starbucks,0.0
77115,Starbucks,0.0
68772,Starbucks,0.0
110197,Starbucks,0.0
134318,Starbucks,0.0
120750,Starbucks,0.0
96000,Starbucks,0.0
80060,Starbucks,0.0
92159,Starbucks,0.0
97803,Starbucks,0.0
80644,Starbucks,0.0
72170,Starbucks,0.0
61376,Starbucks,0.0
38989,Starbucks,0.0
32308,Starbucks,0.0
57028,Starbucks,0.0
37183,Starbucks,0.0
45693,Starbucks,0.0
81964,Starbucks,0.0
58958,Starbucks,0.0
31205,Starbucks,0.0
12490,Starbucks,0.0
50588,Starbucks,0.0
69100,Starbucks,0.0
39162,Starbucks,0.0
51219,Starbucks,0.0
69565,Starbucks,0.0
41776,Starbucks,0.0
43672,Starbucks,0.0
36062,Starbucks,0.0
74396,Starbucks,0.0
68438,Starbucks,0.32520325203252
86250,Starbucks,0.152881822351322
63003,Starbucks,0.0
91019,Starbucks,0.0
84881,Starbucks,0.0
74423,Starbucks,0.0
57037,Starbucks,0.0
84436,Starbucks,0.0
93848,Starbucks,0.0
93281,Starbucks,0.0
76771,Starbucks,0.0
98333,Starbucks,0.0
90518,Starbucks,0.0
102583,Starbucks,0.0
71844,Starbucks,0.0
75461,Starbucks,0.0
103265,Starbucks,0.0
70508,Starbucks,0.0
120612,Starbucks,0.0
NA,Starbucks,0.0
69917,Starbucks,0.0
54669,Starbucks,0.524246395806029
49856,Starbucks,0.0
51065,Starbucks,0.0
90296,Starbucks,0.0
53891,Starbucks,0.0
